omsid,image_url,width,depth,height,canopy,style,taxonomy
203365722,https://images.homedepot-static.com/productImages/d18eeb86-177a-4c3d-a9cb-c7b6ef420437/svn/brushed-nickel-livex-lighting-chandeliers-4253-91-64_1000.jpg,24 in,0 in,18 in,5,Classic,Lighting>Chandeliers
203365722,https://images.homedepot-static.com/productImages/7e9936c7-fa3a-4289-a56a-c57568f2b145/svn/brushed-nickel-livex-lighting-chandeliers-4253-91-64_1000.jpg,24 in,0 in,18 in,5,Classic,Lighting>Chandeliers
203365722,https://images.homedepot-static.com/productImages/d911b4e7-2930-4a67-a843-2171ae6b7bd8/svn/brushed-nickel-livex-lighting-chandeliers-4253-91-64_1000.jpg,24 in,0 in,18 in,5,Classic,Lighting>Chandeliers
203365985,https://images.homedepot-static.com/productImages/4107ae2b-7dd6-4917-9fda-1fc745818b2f/svn/white-livex-lighting-chandeliers-6305-03-64_1000.jpg,20 in,0 in,18.5 in,5,Glam,Lighting>Chandeliers
203366293,https://images.homedepot-static.com/productImages/e3aaafff-53d0-4a8e-b738-92e684ac98f5/svn/antique-brass-livex-lighting-chandeliers-4254-01-64_1000.jpg,13 in,0 in,45.5 in,5,Rustic,Lighting>Chandeliers
203483750,https://images.homedepot-static.com/productImages/a2fe8e55-5f7b-4cb6-bf34-7ab7f6607ec9/svn/chrome-worldwide-lighting-chandeliers-w83100c16-ch-64_1000.jpg,16,16 in,12,5,Glam,Lighting>Chandeliers
203483770,https://images.homedepot-static.com/productImages/d5eb0d4d-7444-4d16-a737-b9a37f265c33/svn/polished-chrome-finish-black-crystal-worldwide-lighting-chandeliers-w83100c16-bl-64_1000.jpg,16,16 in,12,5,Glam,Lighting>Chandeliers
203483770,https://images.homedepot-static.com/productImages/b13b1e03-2520-4fa6-b21d-e5f149be9392/svn/polished-chrome-finish-black-crystal-worldwide-lighting-chandeliers-w83100c16-bl-64_1000.jpg,16,16 in,12,5,Glam,Lighting>Chandeliers
203483770,https://images.homedepot-static.com/productImages/a78c09e8-8931-4665-858f-f171af0ade46/svn/polished-chrome-finish-black-crystal-worldwide-lighting-chandeliers-w83100c16-bl-64_1000.jpg,16,16 in,12,5,Glam,Lighting>Chandeliers
203483770,https://images.homedepot-static.com/productImages/2249883a-fda8-4663-b64e-efa5a00c95db/svn/polished-chrome-finish-black-crystal-worldwide-lighting-chandeliers-w83100c16-bl-64_1000.jpg,16,16 in,12,5,Glam,Lighting>Chandeliers
203483770,https://images.homedepot-static.com/productImages/23de3224-fad8-4439-bc3e-dee1f87da8c0/svn/polished-chrome-finish-black-crystal-worldwide-lighting-chandeliers-w83100c16-bl-64_1000.jpg,16,16 in,12,5,Glam,Lighting>Chandeliers
203483788,https://images.homedepot-static.com/productImages/63422493-e085-4781-887b-b2d4099dbbdb/svn/amber-worldwide-lighting-chandeliers-w83100c16-am-64_1000.jpg,16,16 in,12,5,Glam,Lighting>Chandeliers
203483788,https://images.homedepot-static.com/productImages/2ce08165-b1f4-4cb0-9255-ccb5d542572e/svn/amber-worldwide-lighting-chandeliers-w83100c16-am-64_1000.jpg,16,16 in,12,5,Glam,Lighting>Chandeliers
203483788,https://images.homedepot-static.com/productImages/1d113463-03c7-4d98-8199-297018110eeb/svn/amber-worldwide-lighting-chandeliers-w83100c16-am-64_1000.jpg,16,16 in,12,5,Glam,Lighting>Chandeliers
203483796,https://images.homedepot-static.com/productImages/7731bfc7-1170-414d-8c97-ec35737510cc/svn/polished-chrome-finish-smoke-crystal-worldwide-lighting-chandeliers-w83100c16-sm-64_1000.jpg,16,16 in,12,5,Glam,Lighting>Chandeliers
